Cause of death Code	Race	Gender	Gender Code	Year	Year Code	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
I10	Black	Female	F	1999	1999	1006	10832122	9.28719229713255	8.7132853010108	9.86109929325429	0.292809691898849	9.78085464035614	9.17644151671669	10.3852677639956	0.308374042673194
I10	White	Female	F	1999	1999	5135	69886846	7.34759156250949	7.14662173759223	7.54856138742675	0.102535624957788	4.67193293544797	4.54414717924822	4.79971869164772	0.0651968143876275
I11.0	Black	Female	F	1999	1999	916	12163795	7.53054453811496	7.04286479568545	8.01822428054446	0.248816195117092	8.95001047480467	8.37040580199482	9.52961514761451	0.295716669800941
I11.0	White	Female	F	1999	1999	4523	64119718	7.05399234600501	6.84841381350039	7.25957087850964	0.104887006379912	3.95593551164647	3.84064542097493	4.071225602318	0.0588214748324151
I11.9	Black	Female	F	1999	1999	2076	12163795	17.0670419881295	16.3328651931476	17.8012187831115	0.374579997439763	19.7705419750615	18.9200681113187	20.6210158388044	0.433915236603512
I11.9	White	Female	F	1999	1999	5130	76100624	6.74107481694237	6.55660448210905	6.92554515177569	0.0941175177721012	4.96515446865676	4.82928241083146	5.10102652648206	0.0693224784822953
I12.0	Black	Female	F	1999	1999	1127	12163795	9.26520053979864	8.72426073852897	9.80614034106831	0.275989694525344	11.0174107309446	10.3741698269076	11.6606516349815	0.328184134712719
I12.0	White	Female	F	1999	1999	2394	70333496	3.40378359693652	3.26743334667999	3.54013384719304	0.0695664542125139	2.22195534984805	2.13294729179075	2.31096340790535	0.0454122745190306
I12.9	Black	Female	F	1999	1999	27	8543545	0.316028065633177	0.20826565553292	0.459805034092991	0.0608196295882638	0.254966142363102	0.168025237478708	0.370962988831195	0.0490682569758591
I12.9	White	Female	F	1999	1999	124	34093255	0.363708305352481	0.299690844120652	0.42772576658431	0.0326619700162394	0.113962178176186	0.0939033309738425	0.13402102537853	0.0102341057154815
I13.0	Black	Female	F	1999	1999	4	960883	0.416283772321916	0.113424839444553	1.06585297065303	0.208141886160958	0.0388549050120415	0.010586795968631	0.0994840987928312	0.0194274525060208
I13.0	White	Female	F	1999	1999	24	18705935	0.128301525692247	0.0822053535415364	0.190902406108008	0.0261894392638826	0.02275928786519	0.0145823309209845	0.0338639996003735	0.00464572018156937
I13.1	Black	Female	F	1999	1999	257	10832122	2.37257298246826	2.08249879107632	2.66264717386019	0.147997036424455	2.44206148696331	2.14349153088832	2.7406314430383	0.152331610242343
I13.1	White	Female	F	1999	1999	314	57285042	0.548136108549942	0.487507212637687	0.608765004462198	0.0309331101593141	0.292880582422636	0.260485295796842	0.32527586904843	0.0165282074621399
I13.2	Black	Female	F	1999	1999	285	9411779	3.02812040104214	2.6765544716719	3.37968633041238	0.179370372127673	2.81309219113058	2.48649111865056	3.1396932636106	0.166633200244907
I13.2	White	Female	F	1999	1999	864	57285042	1.50824712671067	1.40767637256815	1.60881788085319	0.0513116092563887	0.773591179215493	0.722007690731494	0.825174667699492	0.0263181063693874
I13.9	Black	Female	F	1999	1999	15	6220460	0.241139722785775	0.13496349144597	0.397723801776717	0.0622620086972252	0.14277501473793	0.0799097479986722	0.235485970558005	0.0368643502889682
I13.9	White	Female	F	1999	1999	46	42494795	0.10824855138141	0.079252011922872	0.144388412745608	0.015960378166609	0.0441885569792616	0.0323517682212268	0.0589413486123579	0.00651524728068447
I10	Black	Male	M	1999	1999	655	10238425	6.39746836061211	5.9075276045201	6.88740911670412	0.249969773516331	10.5107419397576	9.70579214356042	11.3156917359548	0.410688671529192
I10	White	Male	M	1999	1999	2558	64602394	3.95960558365685	3.80615882137032	4.11305234594339	0.0782891644319051	3.99245002289115	3.83773043866487	4.14716960711743	0.0789385633807551
I11.0	Black	Male	M	1999	1999	485	10238425	4.73705672503339	4.31546334060885	5.15865010945794	0.215098665522727	7.93332778169545	7.2272694202747	8.63938614311621	0.360233857867733
I11.0	White	Male	M	1999	1999	1745	64602394	2.7011382890857	2.57440077776238	2.82787580040901	0.064661995573122	2.90867072335763	2.77219578232004	3.04514566439522	0.0696300719579537
I11.9	Black	Male	M	1999	1999	2084	10238425	20.3546932267414	19.4807730316877	21.2286134217951	0.445877650537591	28.2019829865889	26.9911427052841	29.4128232678937	0.617775653726933
I11.9	White	Male	M	1999	1999	4289	70524532	6.08157172882764	5.89956230216819	6.26358115548708	0.0928619523772689	6.30944141683886	6.12061230061275	6.49827053306497	0.0963413858296473
I12.0	Black	Male	M	1999	1999	875	10238425	8.54623635959632	7.97996193873202	9.11251078046063	0.288915520849135	13.5947165586614	12.6939293674172	14.4955037499057	0.459585301655238
I12.0	White	Male	M	1999	1999	1763	70524532	2.49983934668294	2.38314709644744	2.61653159691843	0.0595368623650477	2.86328722456075	2.72962926380103	2.99694518532046	0.0681928371223025
I12.9	Black	Male	M	1999	1999	17	6387488	0.266145314089044	0.155040291269432	0.426125262387968	0.0645497201030775	0.247940084159994	0.144435016626563	0.396976868748567	0.0601343032833052
I12.9	White	Male	M	1999	1999	73	43291548	0.168624138827283	0.132174344978378	0.212019560954485	0.0197359626533048	0.116182384892663	0.0910684005742651	0.14608192164479	0.0135981196118197
I13.0	White	Male	M	1999	1999	12	18650595	0.0643411108331933	0.0332456953786193	0.112391052403422	0.0185736788297518	0.0185902231846215	0.0096057542217258	0.0324734018588969	0.00536653517996824
I13.1	Black	Male	M	1999	1999	243	10238425	2.37341192615075	2.07499321189035	2.67183064041115	0.152254446051223	3.29765671219241	2.88302894982137	3.71228447456345	0.211544776719918
I13.1	White	Male	M	1999	1999	254	64602394	0.39317428391276	0.344821184485829	0.441527383339692	0.02466994868721	0.400465169014159	0.351215426783659	0.449714911244658	0.0251274195053568
I13.2	Black	Male	M	1999	1999	170	9011066	1.88656924719007	1.60297046511041	2.17016802926973	0.144693256163092	2.80562375550179	2.38386797780152	3.22737953320207	0.215181519234835
I13.2	White	Male	M	1999	1999	539	50213253	1.07342179165329	0.982800114297164	1.16404346900942	0.0462355496714937	0.91095306110166	0.834047510057663	0.987858612145658	0.0392375260428559
I13.9	Black	Male	M	1999	1999	12	5025489	0.238782733381766	0.123381426165693	0.41710567867127	0.0689306376978987	0.156171429012898	0.0806953390852545	0.27280025219973	0.0450828082901626
I13.9	White	Male	M	1999	1999	37	35173742	0.105192106088684	0.0740647099759815	0.144993643269459	0.0172934757134974	0.0580484863702403	0.0408713587684225	0.0800122921581481	0.00954311237387633
I10	Black	Female	F	2000	2000	1010	10972757	9.20461466521131	8.63693805994503	9.77229127047758	0.28963092105422	9.68170115083387	9.08460116974718	10.2788011319206	0.304642847493208
I10	White	Female	F	2000	2000	5314	70441832	7.54381288663816	7.34098101220042	7.7466447610759	0.103485650223337	4.78924441374962	4.66047512477349	4.91801370272574	0.0656986168245525
I11.0	Black	Female	F	2000	2000	920	9611068	9.57229727226984	8.95374225339615	10.1908522911435	0.315589295343725	8.85275591904155	8.28069714894356	9.42481468913953	0.291866719437748
I11.0	White	Female	F	2000	2000	4670	70441832	6.62958339868276	6.43943885420806	6.81972794315746	0.0970125226911752	4.02879923129525	3.91324835146668	4.14435011112382	0.0589545305247804
I11.9	Black	Female	F	2000	2000	2224	12317864	18.0550783804725	17.3046866177382	18.8054701432067	0.382852940170523	20.8344606596932	19.9685542742104	21.7003670451761	0.441788972185117
I11.9	White	Female	F	2000	2000	5329	76275378	6.98652715952453	6.79894369058387	7.17411062846519	0.0957058515003361	5.10392429099225	4.96688741961766	5.24096116236683	0.0699167711094828
I12.0	Black	Female	F	2000	2000	1250	12317864	10.1478632983771	9.58529445887467	10.7104321378794	0.28702491811346	11.9584725811293	11.2955286840369	12.6214164782217	0.338236682189998
I12.0	White	Female	F	2000	2000	2751	76275378	3.60666845859486	3.47189108221943	3.74144583497028	0.0687639675384807	2.51636641307332	2.4223324681608	2.61040035798585	0.0479765025063908
I12.9	Black	Female	F	2000	2000	22	4773151	0.460911460793928	0.288848603364947	0.697824560756616	0.0982666536177764	0.209394344653999	0.131225341851215	0.317025131749602	0.0446430242810462
I12.9	White	Female	F	2000	2000	132	34702061	0.380380865562999	0.315489372304345	0.445272358821654	0.0331079047238032	0.120242175953949	0.0997293293396146	0.140755022568284	0.010465738068538
I13.0	Black	Female	F	2000	2000	2	825457	0.242290028432735	0.0293413224432042	0.875233961308705	0.171324922118668	0.0182205894317697	0.00220651338018732	0.0658189640279591	0.0128839023444203
I13.0	White	Female	F	2000	2000	12	17586728	0.0682332722721361	0.0352568141157355	0.119189880004967	0.0196972490570034	0.0112864979501762	0.00583184635583553	0.0197152546193677	0.00325813131487119
I13.1	Black	Female	F	2000	2000	236	12317864	1.91591659073359	1.67147411814544	2.16035906332173	0.124715547238849	2.23453665289039	1.94944299737159	2.5196303084092	0.145455946693268
I13.1	White	Female	F	2000	2000	304	63710420	0.477158995341735	0.423519782607996	0.530798208075475	0.027366945272316	0.285538659779119	0.253440199800114	0.317637119758124	0.0163767652954108
